Respondent ID,Collector ID,Start Date,End Date,What's your occupation?,,How long have you been engaged in software development since graduation from school?,How long have you been using GitHub?,[Multiple Choice] What motivates you to host your learning materials in GitHub?,,,,,How often do you update the repositories of your learning projects?,How often do you check the status (e.g. issues and pull requests) of your learning projects?,How often do you review the quality of the submitted pull requests?,"What would you do if you are not sure about the quality of a pull request? (e.g., a translated version in another language of your learning materials)",,Do you agree that the GitHub platform supports well for the learning purpose?,"Do you agree that the social features (e.g., issues and comments) do help to improve your learning effects?","Do you agree that the social features (e.g., issues and comments) do help to improve the quality of the learning materials?",Do you agree that the social learning in GitHub helps you learn something that you can not learn in traditional classroom or e-learning platforms?,[Multiple Choice] How do you benefit from hosting learning materials in GitHub?,,,,,What challenges or problems have you encountered on managing a learning project in GitHub?,What suggestions do you have on the platform improvement for supporting social learning in GitHub?,[OPTIONAL] Write down anything you want to say about learning in GitHub.
6237969928,157793279,06/09/2017 11:10:35 AM,06/09/2017 11:43:52 PM,Company employee,,1~5 years,>6 years,The convenience for version control,The openness of GitHub,,The features of communicating with others (e.g. using issues),,Often,Occasionally,Always,Assigning it to others to review,,Strongly agree,Strongly agree,Strongly agree,Agree,,,Obtaining answers or suggestions from the community,Meeting like-minded friends in the world,,-,-,
6237919151,157793279,06/09/2017 11:16:12 PM,06/09/2017 11:19:24 PM,Company employee,,>10 years,1~3 years,The convenience for version control,The openness of GitHub,,,,Occasionally,Often,Always,Assigning it to others to review,,Agree,Disagree,Agree,Strongly disagree,Obtaining contributions from the community,,Obtaining answers or suggestions from the community,Meeting like-minded friends in the world,,none,none,
6237531008,157793279,06/09/2017 07:26:16 PM,06/09/2017 07:28:00 PM,Full-time open source developer,,1~5 years,1~3 years,The convenience for version control,The openness of GitHub,"The features of obtaining contributions from others (e.g., using pull requests)",The features of communicating with others (e.g. using issues),,Often,Occasionally,Always,Just leaving it there,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Obtaining contributions from the community,Finding my mistakes during learning,Obtaining answers or suggestions from the community,Meeting like-minded friends in the world,,N/A,N/A,N/A
6237360256,157793279,06/09/2017 04:30:24 PM,06/09/2017 04:32:52 PM,Company employee,,1~5 years,1~3 years,The convenience for version control,,"The features of obtaining contributions from others (e.g., using pull requests)",The features of communicating with others (e.g. using issues),,Occasionally,Often,Often,Other (please specify),Ask for corrections,Agree,Agree,Agree,Agree,Obtaining contributions from the community,Finding my mistakes during learning,Obtaining answers or suggestions from the community,,,Popularizing content,maybe another forum which tells you various resources?,
6237312779,157793279,06/09/2017 03:36:10 PM,06/09/2017 03:44:55 PM,Company employee,,1~5 years,1~3 years,The convenience for version control,The openness of GitHub,,,,Often,Occasionally,Occasionally,Assigning it to others to review,,Agree,Agree,Neutral,Agree,Obtaining contributions from the community,,,,,Can you offer us a gitflow guide?,I luv you guys,
6237292503,157793279,06/09/2017 03:13:41 PM,06/09/2017 03:22:11 PM,Company employee,,6~10 years,>6 years,,The openness of GitHub,"The features of obtaining contributions from others (e.g., using pull requests)",The features of communicating with others (e.g. using issues),,Occasionally,Often,Often,Merging it directly,,Agree,Agree,Agree,Agree,Obtaining contributions from the community,Finding my mistakes during learning,Obtaining answers or suggestions from the community,,,-,-,
6237265926,157793279,06/09/2017 02:40:00 PM,06/09/2017 02:49:57 PM,Student,,1~5 years,1~3 years,The convenience for version control,The openness of GitHub,"The features of obtaining contributions from others (e.g., using pull requests)",The features of communicating with others (e.g. using issues),,Often,Always,Always,Assigning it to others to review,,Agree,Strongly agree,Strongly agree,Strongly agree,Obtaining contributions from the community,Finding my mistakes during learning,Obtaining answers or suggestions from the community,Meeting like-minded friends in the world,,Writing High Quality of Code. Because community will point out that first no matter how cool project is. Code should be readable and self explanable in all sense.,Maybe a page to maintain a list of quality learning projects on GitHub. That people can frequently check for updates and get to know more about community.,
6237249591,157793279,06/09/2017 02:28:02 PM,06/15/2017 10:54:24 PM,Company employee,,1~5 years,4~6 years,,The openness of GitHub,"The features of obtaining contributions from others (e.g., using pull requests)",The features of communicating with others (e.g. using issues),,Occasionally,Occasionally,Always,Assigning it to others to review,,Strongly agree,Strongly agree,Strongly agree,Agree,Obtaining contributions from the community,,Obtaining answers or suggestions from the community,,,"None, really. Perhaps that people are a bit shy about submitting pull requests - I was expecting more of them.",No concrete suggestions at the moment,
6237211271,157793279,06/09/2017 01:27:05 PM,06/09/2017 01:36:23 PM,Company employee,,<1 year,1~3 years,,The openness of GitHub,"The features of obtaining contributions from others (e.g., using pull requests)",,,Occasionally,Often,Always,Assigning it to others to review,,Strongly agree,Strongly agree,Agree,Strongly agree,,Finding my mistakes during learning,Obtaining answers or suggestions from the community,,,People lack of the knowledge about How To Ask Questions the Smart Way.,the mark and note feature.,
6237185464,157793279,06/09/2017 12:50:19 PM,06/09/2017 12:56:12 PM,Company employee,,1~5 years,1~3 years,,,"The features of obtaining contributions from others (e.g., using pull requests)",The features of communicating with others (e.g. using issues),,Always,Always,Always,Assigning it to others to review,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,Obtaining answers or suggestions from the community,,,"Maintaining scope of a project. Some PRs are good, but outside the scope of the project, so I have to turn them down.",It would be awesome if there was a way we could know the contributors or users of an open source project currently online so that you can have a one-on-one chat with them directly.,
6237177413,157793279,06/09/2017 12:35:08 PM,06/09/2017 12:44:07 PM,Student,,1~5 years,1~3 years,The convenience for version control,The openness of GitHub,"The features of obtaining contributions from others (e.g., using pull requests)",,,Occasionally,Occasionally,Occasionally,Merging it directly,,Agree,Strongly agree,Strongly agree,Agree,Obtaining contributions from the community,,Obtaining answers or suggestions from the community,,,"Too many pull requests, too time-consuming to evaluate each one","Create a ""community"" version of the repo to which community can easily add pull requests without waiting for the owner of the repo to approve each one.  This version of the repo will be ""unsupported"" - each pull request is unofficial until the owner officially approves it.",
6237173540,157793279,06/09/2017 11:50:56 AM,06/09/2017 12:38:28 PM,Student,,1~5 years,1~3 years,The convenience for version control,,,,,Always,Occasionally,Always,Assigning it to others to review,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Obtaining contributions from the community,Finding my mistakes during learning,,,,want to use the mobile app for github,want to use the mobile app for github,
6237160554,157793279,06/09/2017 11:54:01 AM,06/09/2017 12:19:45 PM,Student,,1~5 years,1~3 years,,The openness of GitHub,,The features of communicating with others (e.g. using issues),,Occasionally,Often,Often,Assigning it to others to review,,Agree,Strongly agree,Agree,Agree,Obtaining contributions from the community,Finding my mistakes during learning,,Meeting like-minded friends in the world,Really like to interact with the friends with same interests,"At the beginning, it's quite hard to attract others attention. It's important to advertise the repo either in your personal website or other social media.","Keep refining your repo, and blog post is important. It's good to have a blog post a sell your repo.",
6237136242,157793279,06/09/2017 11:45:51 AM,06/09/2017 11:47:56 AM,Company employee,,1~5 years,1~3 years,The convenience for version control,,,The features of communicating with others (e.g. using issues),,Occasionally,Occasionally,Occasionally,Merging it directly,,Agree,Agree,Agree,Agree,Obtaining contributions from the community,Finding my mistakes during learning,Obtaining answers or suggestions from the community,Meeting like-minded friends in the world,,.,.,
6237122512,157793279,06/09/2017 11:18:49 AM,06/09/2017 11:30:43 AM,Company employee,,6~10 years,1~3 years,,The openness of GitHub,,,,Occasionally,Occasionally,Occasionally,Just leaving it there,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Obtaining contributions from the community,Finding my mistakes during learning,Obtaining answers or suggestions from the community,Meeting like-minded friends in the world,,NO,NO,
6237108570,157793279,06/09/2017 11:06:29 AM,06/09/2017 11:11:23 AM,Student,,6~10 years,4~6 years,The convenience for version control,The openness of GitHub,"The features of obtaining contributions from others (e.g., using pull requests)",The features of communicating with others (e.g. using issues),,Occasionally,Always,Often,Assigning it to others to review,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Obtaining contributions from the community,,,Meeting like-minded friends in the world,,None.,None.,
6234230337,157793279,06/08/2017 12:24:30 AM,06/08/2017 12:30:18 AM,Company employee,,1~5 years,4~6 years,The convenience for version control,The openness of GitHub,,,,Occasionally,Occasionally,Often,Assigning it to others to review,,Neutral,Neutral,Agree,Agree,,Finding my mistakes during learning,Obtaining answers or suggestions from the community,,,No community support for self-hosted project. ,Create more incentives and rewards for community.,
6233447795,157793279,06/07/2017 04:33:07 PM,06/07/2017 04:46:12 PM,Company employee,,>10 years,>6 years,The convenience for version control,The openness of GitHub,"The features of obtaining contributions from others (e.g., using pull requests)",The features of communicating with others (e.g. using issues),,Occasionally,Often,Always,Assigning it to others to review,,Agree,Agree,Agree,Agree,Obtaining contributions from the community,,Obtaining answers or suggestions from the community,Meeting like-minded friends in the world,,I dont have enough time,Nothing,
6233382705,157793279,06/07/2017 03:45:12 PM,06/07/2017 03:48:29 PM,Student,,1~5 years,1~3 years,,The openness of GitHub,"The features of obtaining contributions from others (e.g., using pull requests)",,,Often,Often,Always,Assigning it to others to review,,Agree,Agree,Agree,Agree,Obtaining contributions from the community,Finding my mistakes during learning,,,,Nothing ,Nothing ,
6233375819,157793279,06/07/2017 03:35:18 PM,06/07/2017 03:41:22 PM,Student,,<1 year,<1 year,,The openness of GitHub,"The features of obtaining contributions from others (e.g., using pull requests)",The features of communicating with others (e.g. using issues),,Often,Always,Often,Assigning it to others to review,,Strongly agree,Strongly agree,Agree,Strongly agree,,,,Meeting like-minded friends in the world,Great Company or people contacted me first.,No prob.,May be ranking using star? Stars encourage me to continue github!,
