What challenges or problems have you encountered on participating in a learning project in GitHub?

Respondents,Response Date,Responses,Categories
142,Jun 05 2017 12:44 AM,Advanced programming CAD design Access areas confusing,
143,Jun 04 2017 11:38 PM,"Some materials can be explained pretty bad, so there's more room to improve.",
144,Jun 04 2017 08:29 PM,forgetting where I am at,
145,Jun 04 2017 07:46 PM,Conforming to the standards defined by the project.,
146,Jun 04 2017 07:01 PM,Nobody pay attention to me,
147,Jun 04 2017 06:36 PM,None,
148,Jun 04 2017 06:26 PM,Na,
149,Jun 04 2017 01:26 PM,Get updated with new materials. All of the learning materials should be in one place.,
150,Jun 04 2017 10:50 AM,No problems,
151,Jun 04 2017 10:43 AM,nothing ,
152,Jun 04 2017 06:09 AM,so far none,
153,Jun 04 2017 04:57 AM,Basic understanding at first visit ,
154,Jun 04 2017 04:41 AM,None,
155,Jun 04 2017 04:16 AM,None,
156,Jun 04 2017 02:48 AM,.,
157,Jun 04 2017 02:29 AM,"Instructions for setting up the project aren't up to date.
Materials difficulty bump up pretty quickly",
158,Jun 04 2017 02:22 AM,None,
159,Jun 04 2017 01:41 AM,None,
160,Jun 04 2017 01:03 AM,No,
161,Jun 03 2017 11:55 PM,"Can not learn in the absence of network.
Always staring at the computer screen is not good for eyes.",
162,Jun 03 2017 11:27 PM,Not piratical real-life examples.,
163,Jun 03 2017 11:23 PM,short and nice ones,
164,Jun 03 2017 11:14 PM,None. ,
165,Jun 03 2017 11:02 PM,Issues are not taken seriously by contributors.,
166,Jun 03 2017 10:48 PM,Broken links,
167,Jun 03 2017 10:32 PM,None,
168,Jun 03 2017 10:24 PM,"(1) Hard to find the projects on a specific topic even when plenty of them exist. imho, tags and github search just doesn't cut it.
(2) Some projects require a whole bunch of libraries/dependencies to get learning materials up&running, but they don't provide docker/binder/whatever to speed up the process.
(3) While having some feedback is awesome, it's harder to differentiate between someone occasionally wandering in, ""star""-ing and disappearing for good Vs a person who genuinely learned something from the project. ",
169,Jun 03 2017 10:10 PM,Not able to get real time answer,
170,Jun 03 2017 09:41 PM,Some packages that I need to install or update. And a shit computer.,
171,Jun 03 2017 09:10 PM,Na ,
172,Jun 03 2017 08:31 PM,None,
173,Jun 03 2017 08:28 PM,---,
174,Jun 03 2017 07:54 PM,None,
175,Jun 03 2017 07:32 PM,"Digging through everything to get to the good, interesting items.",
176,Jun 03 2017 07:20 PM,"Getting over the fear that I can't do something. Sometimes the projects look overwhelming, but when I break them down piece by piece they are not as scary.",
177,Jun 03 2017 07:11 PM,none,
178,Jun 03 2017 07:05 PM,whatever,
179,Jun 03 2017 07:00 PM,N/a,
180,Jun 03 2017 06:52 PM,"remote communication via comments on issues is a slow process. Many use gitter, but I personally do not. Why not have a chat integrated in github ?",
181,Jun 03 2017 06:21 PM,To find a appropriate issue for my level.,
182,Jun 03 2017 06:21 PM,No problem,
183,Jun 03 2017 05:53 PM,.,
184,Jun 03 2017 05:38 PM,-,
185,Jun 03 2017 05:35 PM,want to help but usually don't know where to start,
186,Jun 03 2017 04:36 PM,Language,
187,Jun 03 2017 04:23 PM,To be a part of a new team as a challenge,
188,Jun 03 2017 04:14 PM,Nothing,
189,Jun 03 2017 04:04 PM,None,
190,Jun 03 2017 04:00 PM,Downtime on GitHub messes up my workflow.,
191,Jun 03 2017 03:40 PM,My personal lack of time ,
192,Jun 03 2017 03:38 PM,Nothing.,
193,Jun 03 2017 03:35 PM,Too many negative entitled people posting on issues without doing the work,
194,Jun 03 2017 03:34 PM,-,
195,Jun 03 2017 03:18 PM,.,
196,Jun 03 2017 03:13 PM,no comment,
197,Jun 03 2017 03:07 PM,N,
198,Jun 03 2017 02:56 PM,"Not being able to trust developers.
Having to wait for a long time for a simple help",
199,Jun 03 2017 02:53 PM,None,
200,Jun 03 2017 02:45 PM,none,
201,Jun 03 2017 02:35 PM,None,
202,Jun 03 2017 02:34 PM,I can't remember it was a very long time ago,
203,Jun 03 2017 02:26 PM,Nothing,
204,Jun 03 2017 01:58 PM,-,
205,Jun 03 2017 01:32 PM,No problems at all.,
206,Jun 03 2017 01:17 PM,"- The lack of supervision and constructive negative feedback about studying topic and issues.
- Lack of practice tailored for educational purposes (a lot of same small tasks which improve mechanics in single particular technique)",
207,Jun 03 2017 01:15 PM,Little problems,
208,Jun 03 2017 01:09 PM,None,
209,Jun 03 2017 12:57 PM,Private groups costly,
210,Jun 03 2017 12:54 PM,"CodeCombat ate all my RAM and slowed to a crawl, so I couldn't continue participating. ",
211,Jun 03 2017 12:38 PM,Responses to requests are terse or unhelpful.,
212,Jun 03 2017 12:38 PM,Git commands were quite challenging for me in start.,
213,Jun 03 2017 12:35 PM,"Sometimes it feels like there's too much information, some comments or suggestions can mislead inexperienced readers",
214,Jun 03 2017 12:32 PM,Overwhelming information ,
215,Jun 03 2017 12:29 PM,I didn't encounter any problem,
216,Jun 03 2017 12:22 PM,"No problems, just lack of discipline",
217,Jun 03 2017 12:19 PM,"I have faced no challenges, it's a very responsive and welcoming community. ",
218,Jun 03 2017 12:16 PM,I didn't encounter problem. My learning curve was very smooth.,
219,Jun 03 2017 12:05 PM,"Merging to master
Merge conflicts",
220,Jun 03 2017 11:52 AM,Sometimes there are inconsistencies.,
221,Jun 03 2017 11:52 AM,/,
222,Jun 03 2017 11:51 AM,a,
223,Jun 03 2017 11:51 AM,Nothing at all. But want to join many organizations. ,
224,Jun 03 2017 11:44 AM,Updating infrequently,
225,Jun 03 2017 11:30 AM,None,
226,Jun 03 2017 11:29 AM,-,
227,Jun 03 2017 11:24 AM,Null,
228,Jun 03 2017 11:23 AM,Nothing.,
229,Jun 03 2017 11:17 AM,n/a,
230,Jun 03 2017 11:16 AM,Not well documented code,
231,Jun 03 2017 11:16 AM,If the project is new and starting up,
232,Jun 03 2017 11:02 AM,None,
233,Jun 03 2017 10:58 AM,"Despite having resources to ask for help from other users, there are times where as a learner you feel alone and that you can't find help.",
234,Jun 03 2017 10:53 AM,Nothing much,
235,Jun 03 2017 10:52 AM,Finding new projects sometimes proves difficult.,
236,Jun 03 2017 10:44 AM,Waiting for commenter,
237,Jun 03 2017 10:44 AM,None till now,
238,Jun 03 2017 10:39 AM,Nothing,
239,Jun 03 2017 10:38 AM,Some projects are unfinished or low quality,
240,Jun 03 2017 10:37 AM,Inactive maintainers,
241,Jun 03 2017 10:35 AM,Free private repos,
242,Jun 03 2017 10:33 AM,people suggest or submit pr then disappear,
243,Jun 03 2017 10:31 AM,none,
244,Jun 03 2017 10:30 AM,Getting started with git,
245,Jun 03 2017 10:28 AM,Mentorship:  Sometimes I need to have my hands held...That's one of the reasons I enrolled into Udacity.,
246,Jun 03 2017 10:27 AM,many,
247,Jun 03 2017 10:25 AM,Dated material referring to older version of the GitHub interface.,
248,Jun 03 2017 10:21 AM,The learning project (only tried learnyounode so far) does not provide advanced material to go deep and master the topic. ,
249,Jun 03 2017 10:20 AM,Nothing,
250,Jun 03 2017 10:19 AM,no one,
251,Jun 03 2017 10:19 AM,None,
252,Jun 03 2017 10:18 AM,None,
253,Jun 03 2017 10:17 AM,h,
254,Jun 03 2017 10:16 AM,none,
255,Jun 03 2017 10:16 AM,"Sometimes, I didn`t find my problem resolution. Maybe because I am a begginer.",
256,Jun 03 2017 10:16 AM,"Sometimes it can be isolating.
It's nerve racking getting involved with PR's etc.",
257,Jun 03 2017 10:14 AM,None related to the platform.,
258,Jun 03 2017 10:13 AM,Lack of ease to access / search learning materials,
259,Jun 03 2017 10:12 AM,None,
260,Jun 03 2017 10:11 AM,None. ,
261,Jun 03 2017 10:10 AM,stop emailing me,

